config,seed,model,buffer,policy,replay,static,final_acc,forgetting,buffer_classes,fit_s,dream_judge_acc,dream_self_acc,recon_mse,judge_test_acc,run_args,omp_threads,schedule,replay_used,hidden,active_frac,asleep_frac,overlap,overlap_in,dim,synops,eff_frac,gate,theta,rest_frac,ach_frac,gate_signal,kp_eff,drift,drift_p99,drift_n,sleeps,rem_used,early_sleeps,sleep_log
bp_derpp_a0.1_b0.5_w512,1,bp,1000,random,derpp,False,0.8742,0.1543742194766575,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",74.74930429458618,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b0.5_w512,2,bp,1000,random,derpp,False,0.8867,0.13839807907573934,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",74.10419249534607,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b1.0_ce,0,bp,1000,random,derpp,False,0.9246,0.08257005624933172,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",40.95669388771057,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b1.0_ce,1,bp,1000,random,derpp,False,0.9114,0.10224401699063718,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",41.98173499107361,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b1.0_ce,2,bp,1000,random,derpp,False,0.9177,0.09179390643194166,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",41.58576273918152,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b1.0,0,bp,1000,random,derpp,False,0.9019,0.11829685657796143,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",47.013468980789185,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b1.0,1,bp,1000,random,derpp,False,0.8862,0.13789180215099556,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",46.590229511260986,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b1.0,2,bp,1000,random,derpp,False,0.8929,0.12982661487778804,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",46.819907903671265,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b1.0_w512_ce,0,bp,1000,random,derpp,False,0.925,0.08222836933606054,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",75.14929962158203,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b1.0_w512_ce,1,bp,1000,random,derpp,False,0.9136,0.1001451504184957,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",74.87839555740356,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b1.0_w512_ce,2,bp,1000,random,derpp,False,0.9241,0.08489125321781316,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",75.03666377067566,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b1.0_w512,0,bp,1000,random,derpp,False,0.9009,0.11971283075162997,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",74.85031914710999,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b1.0_w512,1,bp,1000,random,derpp,False,0.8826,0.14371439228165647,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",75.08284640312195,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b1.0_w512,2,bp,1000,random,derpp,False,0.8974,0.12402967824226538,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",74.81302189826965,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.3_b0.5_ce,0,bp,1000,random,derpp,False,0.924,0.08279862828375845,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",40.66454005241394,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
