config,seeds,acc,acc_sd,forgetting,fit_min
g11_prog03_w512s5,3,0.9035000000000001,0.00515072810387038,0.09169720123329932,11.10703777604633
g11_prog05_w512s5,3,0.904,0.008842510955605285,0.0931337705931356,10.214423639244503
static_g11_prog03_w512s5,3,0.9276666666666666,0.005262445565830981,0.0,10.190200375186071
static_g11_prog05_w512s5,3,0.9427666666666666,0.0018475208614067752,0.0,9.456898126337263
cif_prog03_br16,3,0.2722,0.0066189122973491716,0.36933333333333335,11.839055195119645
cif_prog03_static,3,0.25299999999999995,0.00955981171362697,0.0,11.531350836488937
cfeat_night,3,0.3168666666666667,0.015185629171467747,0.4655833333333333,1.0161403139432272
cfeat_refr_br16,3,0.3701666666666667,0.0035232560697930327,0.36683333333333334,11.253871222337088
cfeat_none_br16,3,0.3075666666666667,0.00640494600549712,0.6082916666666667,10.990154672993555
cfeat_prog03_br16,3,0.3598333333333333,0.0061027316288145075,0.401,10.437794140974681
cfeat_bp_er_1000,3,0.4261333333333333,0.005001333155602947,0.49220833333333336,0.3928140030966865
cfeat_bp_none,3,0.1773,0.000264575131106464,0.8497916666666666,0.1876643737157186
cfeat_ctx_none,3,0.1695333333333333,0.0012662279942148417,0.817875,0.3576297852728102
cfeat_static_none,3,0.3172,0.03585847180235099,0.0,11.059032282564376
cfeat_static_refr,3,0.35633333333333334,0.01313938101028101,0.0,10.591007294919756
cfeat_static_prog03,3,0.35633333333333334,0.01313938101028101,0.0,10.568138477537367
g11_k200_none_g1_n02,3,0.7098333333333334,0.01656059580248655,0.3425598665877427,12.680075588491228
g11_k200_combo_n02,3,0.8478666666666667,0.00870938191454097,0.1529136932195201,12.36229040755166
g11_k200_night_n02,3,0.8177,0.03188244030810684,0.19123950501554646,1.0302023357815213
g11_k200_night,3,0.8397,0.03389262456641563,0.15442641335757792,1.0031312783559163
sp11_refr_loc,3,0.9087,0.0019519221295942926,0.06852405159248627,8.303990415732066
sp11_refr_ep,3,0.9057333333333334,0.004273562136360435,0.07384809961962432,7.692206263542175
sp11_pb_loc,3,0.8461666666666666,0.004735328218121028,0.13850400014808786,3.5352813707457647
sp11_pb_ep,3,0.8659333333333333,0.013369492635598931,0.10349785578558211,3.46162897878223
sp11_night,3,0.8719,0.03842551235832775,0.10812921743751282,0.6824263347519769
static_sp11_refr_loc,3,0.9175,0.0035594943461115286,0.0,6.643477622667948
g12_mirror_w512s5,3,0.8129,0.0292723418946964,0.11301722314443778,7.758803779549069
g12_sgd_refr_w512s5,6,0.9195333333333333,0.005976174919349931,0.05973975627846787,4.63253414299753
g12_soft_refr_w512s5,3,0.8835666666666667,0.006757465007925165,0.08745271826435004,6.239867028925153
static_g12_mirror_w512s5,3,0.9206,0.0005291502622128598,0.0,7.456514275074005
static_g12_sgd_refr_w512s5,6,0.9330833333333333,0.0018840559085830327,0.0,4.364203568299612
static_g12_soft_refr_w512s5,3,0.8595666666666667,0.01290012919831942,0.0,6.68342272705502
g12_sgd_cad2_br64_w512s5,3,0.9134000000000001,0.003195309061734061,0.0833496964300741,3.1524646401405336
g12_sgd_none_w512s5,3,0.8407,0.04067935594377076,0.15895060761631577,4.15283073981603
g12_sgd_prog05_w512s5,3,0.8908333333333333,0.0030924639582916567,0.12080994789424786,5.0746724261177905
g12_sgd_silent_w512s5,3,0.8904333333333333,0.004578573285788276,0.12214513630300768,5.095655571089851
g12_adam_leak_w512s5,3,0.9189666666666666,0.004007908847932258,0.02554522399328261,6.816474215189616
static_g12_sgd_prog05_w512s5,3,0.9504333333333334,0.005822656896411949,0.0,5.020653336577945
static_g12_sgd_silent_w512s5,3,0.9603333333333334,0.0008082903768655221,0.0,4.930207753181458
static_g12_adam_leak_w512s5,3,0.9279333333333333,0.00351615320106128,0.0,6.462086816628774
static_g12_sgd_none_w512s5,3,0.9570666666666666,0.0005033222956847347,0.0,4.777561189068688
g13_sgd_block512_w512s5,3,0.9167666666666667,0.003583759664560873,0.0809554952180167,4.936544148127238
g13_sgd_block2048_w512s5,6,0.9204499999999999,0.004462174357866384,0.0605871267840103,4.705530379878151
g13_sgd_block4096_w512s5,3,0.9201333333333334,0.0066108496680331395,0.0605485146268411,4.96285121705797
static_g13_sgd_block512_w512s5,3,0.9401999999999999,0.005010987926547029,0.0,4.84591109222836
static_g13_sgd_block2048_w512s5,6,0.9421166666666667,0.0036722835765592176,0.0,4.5325600180361
static_g13_sgd_block4096_w512s5,3,0.9335666666666667,0.0005686240703076896,0.0,4.875913956430224
g13_sgd_flip512_w512s5,3,0.9185666666666666,0.004272391992003212,0.06417784326192004,4.928658333089617
g13_sgd_flip1024_w512s5,3,0.9171666666666667,0.0020108041509141034,0.06907322014558098,4.93489324119356
g13_sgd_flip4096_w512s5,3,0.9095333333333334,0.010682852303263107,0.08367684598648055,4.9055497434404165
static_g13_sgd_flip512_w512s5,3,0.9420000000000001,0.004003748243833465,0.0,4.972481426927778
static_g13_sgd_flip1024_w512s5,3,0.9420000000000001,0.004003748243833465,0.0,4.963697653346591
static_g13_sgd_flip4096_w512s5,3,0.9395333333333333,0.007423161949825185,0.0,4.96143454445733
g14_sgd_refr_e005_w512s5,3,0.9076333333333334,0.003801753981168853,0.053970752602859356,5.208431549866995
g14_sgd_refr_e01_w512s5,3,0.9191333333333334,0.004423045707805152,0.05515342273268133,5.22660544845793
g14_sgd_refr_e05_w512s5,3,0.8982666666666667,0.00732825581795107,0.09907950900465634,5.010839822557238
g14_sgd_refr_e1_w512s5,3,0.8633666666666667,0.008055639846302321,0.13002338938012167,4.900061588817172
static_g14_sgd_refr_e005_w512s5,3,0.9057333333333334,0.0020305992547357877,0.0,5.057896428638034
static_g14_sgd_refr_e01_w512s5,3,0.9188666666666666,0.0020256686138984785,0.0,4.9955813301934135
static_g14_sgd_refr_e05_w512s5,3,0.9373333333333332,0.0036692415201691696,0.0,4.940690505504608
static_g14_sgd_refr_e1_w512s5,3,0.8917999999999999,0.007835177087979584,0.0,4.788213789463043
g14_adam_refr_e3e4_w512s5,3,0.8858,0.008746999485537883,0.07735256124465176,6.876183047559526
g14_adam_refr_e3e3_w512s5,3,0.8889333333333332,0.0034122328955294304,0.091964905461052,6.918495123916202
static_g14_adam_refr_e3e4_w512s5,3,0.8927,0.005575840743780312,0.0,6.890780888663398
static_g14_adam_refr_e3e3_w512s5,3,0.9354999999999999,0.0006244997998398777,0.0,6.809698923428853
g14_sgd_none_e005_w512s5,3,0.882,0.025124490044576068,0.1254079556817607,4.864525098270841
g14_sgd_none_e05_w512s5,3,0.8458333333333333,0.017897578979664625,0.1593297317331718,4.993855765130785
g14_sgd_block2048_e01_w512s5,3,0.9187666666666666,0.005307855813163492,0.055643263232359734,4.933481146229638
g14_sgd_block2048_e05_w512s5,3,0.8994333333333332,0.0053407240457950126,0.09530126907718149,4.977190966076321
static_g14_sgd_block2048_e01_w512s5,3,0.9264000000000001,0.006753517601961228,0.0,4.96419829527537
static_g14_sgd_block2048_e05_w512s5,3,0.9377333333333334,0.012202185596577896,0.0,4.918398903475867
cif_sgd_refr_e01,3,0.2722,0.014014635207525036,0.37308333333333327,4.843501540025075
cif_sgd_refr_e02,3,0.2689,0.022193918085818023,0.385375,4.838471227222018
cif_sgd_refr_e05,3,0.2222666666666667,0.017068782420938348,0.46370833333333333,4.83056622478697
cif_sgd_refr_e01_static,3,0.2310333333333333,0.02005002078136912,0.0,4.81141902340783
cif_sgd_refr_e02_static,3,0.25520000000000004,0.015636815532582064,0.0,4.788199048572116
cif_sgd_refr_e05_static,3,0.23976666666666668,0.017573370005019913,0.0,4.852998500400119
cfeat_sgd_refr_e01,6,0.4056166666666667,0.009831869947607456,0.30954166666666666,4.759010936154259
cfeat_sgd_refr_e02,3,0.3855666666666666,0.005301257712404991,0.35424999999999995,4.880216919051277
cfeat_sgd_refr_e05,3,0.32,0.005650663677834655,0.42087499999999994,4.8285186886787415
cfeat_sgd_refr_e01_static,6,0.3855,0.01426478180695379,0.0,4.7388839079274065
cfeat_sgd_refr_e02_static,3,0.37810000000000005,0.016646020545463706,0.0,4.833308516608344
cfeat_sgd_refr_e05_static,3,0.3278666666666667,0.025580526447540792,0.0,4.753642401430342
g15_sgd_anchor_l1e3m1e4_w512s5,3,0.9144333333333333,0.005415102338214292,0.06601525254356004,6.232233070002662
g15_sgd_anchor_l1e3m3e4_w512s5,3,0.9222666666666667,0.0029263173671584173,0.05831419995581438,5.326746504836612
g15_sgd_anchor_l3e3m1e4_w512s5,3,0.8978333333333334,0.0043935558871298465,0.06877893889099622,5.36400928762224
g15_sgd_anchor_l3e3m3e4_w512s5,3,0.9117666666666667,0.0017039170558842418,0.06090130163941886,5.32589246167077
static_g15_sgd_anchor_l1e3m1e4_w512s5,3,0.9202,0.001835755975068602,0.0,5.369499965508779
static_g15_sgd_anchor_l1e3m3e4_w512s5,3,0.9264333333333333,0.0010408329997330585,0.0,5.351670800315009
static_g15_sgd_anchor_l3e3m1e4_w512s5,3,0.9032333333333332,0.0015502687938978284,0.0,5.281327847639719
static_g15_sgd_anchor_l3e3m3e4_w512s5,3,0.9089,0.0018357559750686156,0.0,5.085435573259989
g15_sgd_anchor_l3e4m1e4_w512s5,3,0.9229666666666666,0.0013868429375143198,0.062044869329488196,5.486393943097856
g15_sgd_anchor_l3e4m3e4_w512s5,3,0.9238333333333334,0.002013289182738875,0.059547373454014584,5.536144790384504
g15_sgd_anchor_l1e3m1e3_w512s5,3,0.9230333333333333,0.0035529330606322235,0.0630245347715353,5.505367789003584
static_g15_sgd_anchor_l3e4m1e4_w512s5,3,0.9312666666666667,0.002722743714221612,0.0,5.444736410511864
static_g15_sgd_anchor_l3e4m3e4_w512s5,3,0.9332666666666666,0.0022188585654190638,0.0,5.494007919894325
static_g15_sgd_anchor_l1e3m1e3_w512s5,3,0.9289333333333333,0.002025668613898514,0.0,5.492369333902995
g15_sgd_anchorblock_w512s5,3,0.9233333333333333,0.0026633312473917556,0.06320952152154106,5.043857916196187
static_g15_sgd_anchorblock_w512s5,3,0.9378333333333333,0.004850085909892036,0.0,4.7385955055554705
g15_sgd_util10_w512s5,3,0.9094666666666668,0.0014011899704655542,0.09024101604657674,5.2299846900833975
g15_sgd_util25_w512s5,3,0.8911333333333333,0.00373139830805199,0.121402284020459,5.818895908196767
static_g15_sgd_util10_w512s5,3,0.9418333333333333,0.001778576209593917,0.0,5.09934278594123
